file,speaker,label
9079.wav,Harry Truman,spoof
9080.wav,Barack Obama,bona-fide
9081.wav,Christopher Hitchens,bona-fide
9082.wav,Bill Clinton,spoof
9083.wav,Lyndon Johnson,bona-fide
9084.wav,Gilbert Gottfried,spoof
9085.wav,Ronald Reagan,spoof
9086.wav,Bernie Sanders,spoof
9087.wav,Barack Obama,bona-fide
9088.wav,Bernie Sanders,spoof
9089.wav,Dwight Eisenhower,bona-fide
9090.wav,Adam Driver,spoof
9091.wav,Bernie Sanders,bona-fide
9092.wav,Bill Clinton,bona-fide
9093.wav,Bernie Sanders,bona-fide
9094.wav,Donald Trump,bona-fide
9095.wav,Alec Guinness,bona-fide
9096.wav,Bernie Sanders,spoof
9097.wav,Winston Churchill,bona-fide
9098.wav,Bill Clinton,bona-fide
9099.wav,Donald Trump,bona-fide
9100.wav,Nick Offerman,bona-fide
9101.wav,Ronald Reagan,bona-fide
9102.wav,Donald Trump,bona-fide
9103.wav,Bill Clinton,bona-fide
9104.wav,Barack Obama,bona-fide
9105.wav,Christopher Hitchens,spoof
9106.wav,Barack Obama,bona-fide
9107.wav,Tucker Carlson,bona-fide
9108.wav,Ayn Rand,spoof
9109.wav,Donald Trump,bona-fide
9110.wav,Barack Obama,bona-fide
9111.wav,Bernie Sanders,spoof
9112.wav,Milton Friedman,spoof
9113.wav,Bill Clinton,bona-fide
9114.wav,Donald Trump,bona-fide
9115.wav,Ronald Reagan,bona-fide
9116.wav,Bill Clinton,bona-fide
9117.wav,Orson Welles,bona-fide
9118.wav,Martin Luther King,bona-fide
9119.wav,Ayn Rand,spoof
9120.wav,Barack Obama,bona-fide
9121.wav,Ronald Reagan,spoof
9122.wav,Donald Trump,bona-fide
9123.wav,Winston Churchill,bona-fide
9124.wav,George W. Bush,spoof
9125.wav,Donald Trump,bona-fide
9126.wav,Dwight Eisenhower,bona-fide
9127.wav,Donald Trump,bona-fide
9128.wav,Ayn Rand,bona-fide
9129.wav,Bill Clinton,spoof
9130.wav,Alan Watts,spoof
9131.wav,William F. Buckley,spoof
9132.wav,Barack Obama,bona-fide
9133.wav,Barack Obama,bona-fide
9134.wav,Alec Guinness,spoof
9135.wav,Ayn Rand,bona-fide
9136.wav,Arnold Schwarzenegger,bona-fide
9137.wav,Donald Trump,bona-fide
9138.wav,Milton Friedman,bona-fide
9139.wav,Ayn Rand,bona-fide
9140.wav,Alec Guinness,bona-fide
9141.wav,Winston Churchill,bona-fide
9142.wav,Ayn Rand,spoof
9143.wav,Barack Obama,bona-fide
9144.wav,Winston Churchill,bona-fide
9145.wav,Barack Obama,bona-fide
9146.wav,Bernie Sanders,bona-fide
9147.wav,Bill Clinton,spoof
9148.wav,Donald Trump,bona-fide
9149.wav,Alan Watts,spoof
9150.wav,Ayn Rand,spoof
9151.wav,Barack Obama,spoof
9152.wav,Barack Obama,bona-fide
9153.wav,Milton Friedman,spoof
9154.wav,Bob Ross,spoof
9155.wav,Donald Trump,bona-fide
9156.wav,Mark Zuckerberg,bona-fide
9157.wav,Scarlett Johansson,bona-fide
9158.wav,The Notorious B.I.G.,spoof
9159.wav,Bernie Sanders,spoof
9160.wav,Alec Guinness,spoof
9161.wav,Ayn Rand,bona-fide
9162.wav,George Carlin,spoof
9163.wav,Ayn Rand,spoof
9164.wav,Bernie Sanders,spoof
9165.wav,Alec Guinness,bona-fide
9166.wav,Bernie Sanders,spoof
9167.wav,Barack Obama,bona-fide
9168.wav,Bill Clinton,spoof
9169.wav,Barack Obama,bona-fide
9170.wav,Bernie Sanders,spoof
9171.wav,Ronald Reagan,spoof
9172.wav,Ronald Reagan,spoof
9173.wav,The Notorious B.I.G.,spoof
9174.wav,Nelson Mandela,spoof
9175.wav,Bill Clinton,bona-fide
9176.wav,Bernie Sanders,bona-fide
9177.wav,Ayn Rand,spoof
9178.wav,Queen Elizabeth II,spoof
9179.wav,Mark Zuckerberg,bona-fide
9180.wav,George W. Bush,spoof
9181.wav,Alec Guinness,spoof
9182.wav,Ayn Rand,bona-fide
9183.wav,Ronald Reagan,bona-fide
9184.wav,Alec Guinness,bona-fide
9185.wav,Donald Trump,bona-fide
9186.wav,Barack Obama,bona-fide
9187.wav,Ayn Rand,bona-fide
9188.wav,Mark Zuckerberg,bona-fide
9189.wav,Barack Obama,bona-fide
9190.wav,Alec Guinness,bona-fide
9191.wav,Alec Guinness,spoof
9192.wav,Bill Burr,bona-fide
9193.wav,Martin Luther King,bona-fide
9194.wav,Bob Ross,spoof
9195.wav,Bernie Sanders,bona-fide
9196.wav,Alec Guinness,bona-fide
9197.wav,Winston Churchill,spoof
9198.wav,Donald Trump,bona-fide
9199.wav,Donald Trump,bona-fide
9200.wav,Donald Trump,bona-fide
9201.wav,Bernie Sanders,bona-fide
9202.wav,Alec Guinness,bona-fide
9203.wav,Bernie Sanders,bona-fide
9204.wav,Ayn Rand,bona-fide
9205.wav,Christopher Hitchens,spoof
9206.wav,Barack Obama,bona-fide
9207.wav,Louis Farrakhan,spoof
9208.wav,Donald Trump,spoof
9209.wav,Winston Churchill,bona-fide
9210.wav,Alec Guinness,spoof
9211.wav,Bill Clinton,bona-fide
9212.wav,Bill Clinton,bona-fide
9213.wav,Mark Zuckerberg,spoof
9214.wav,Barack Obama,bona-fide
9215.wav,Alec Guinness,bona-fide
9216.wav,Ronald Reagan,bona-fide
9217.wav,Louis Farrakhan,bona-fide
9218.wav,Ayn Rand,spoof
9219.wav,Bill Clinton,spoof
9220.wav,Bernie Sanders,bona-fide
9221.wav,Martin Luther King,spoof
9222.wav,Nelson Mandela,spoof
9223.wav,FDR,bona-fide
9224.wav,Richard Nixon,bona-fide
9225.wav,Barack Obama,bona-fide
9226.wav,JFK,bona-fide
9227.wav,Ayn Rand,bona-fide
9228.wav,Ayn Rand,bona-fide
9229.wav,Ayn Rand,spoof
9230.wav,Queen Elizabeth II,spoof
9231.wav,Donald Trump,bona-fide
9232.wav,FDR,bona-fide
9233.wav,Ayn Rand,bona-fide
9234.wav,Alec Guinness,bona-fide
9235.wav,Barack Obama,bona-fide
9236.wav,Donald Trump,bona-fide
9237.wav,Bernie Sanders,spoof
9238.wav,Ronald Reagan,bona-fide
9239.wav,Dwight Eisenhower,bona-fide
9240.wav,Mark Zuckerberg,bona-fide
9241.wav,2Pac,spoof
9242.wav,Alec Guinness,spoof
9243.wav,Donald Trump,bona-fide
9244.wav,Barack Obama,bona-fide
9245.wav,Martin Luther King,bona-fide
9246.wav,Donald Trump,bona-fide
9247.wav,Malcolm X,bona-fide
9248.wav,Bill Clinton,bona-fide
9249.wav,Orson Welles,spoof
9250.wav,Milton Friedman,bona-fide
9251.wav,Donald Trump,bona-fide
9252.wav,Arnold Schwarzenegger,bona-fide
9253.wav,Malcolm X,spoof
9254.wav,Alexandria Ocasio-Cortez,spoof
9255.wav,Christopher Hitchens,bona-fide
9256.wav,Mark Zuckerberg,bona-fide
9257.wav,Alec Guinness,spoof
9258.wav,Mark Zuckerberg,spoof
9259.wav,Barack Obama,bona-fide
9260.wav,Boris Johnson,bona-fide
9261.wav,Bill Clinton,bona-fide
9262.wav,Louis Farrakhan,spoof
9263.wav,Barack Obama,bona-fide
9264.wav,Ayn Rand,spoof
9265.wav,Christopher Hitchens,bona-fide
9266.wav,Kanye West,bona-fide
9267.wav,Bernie Sanders,spoof
9268.wav,Kanye West,spoof
9269.wav,Winston Churchill,bona-fide
9270.wav,Milton Friedman,spoof
9271.wav,Bernie Sanders,bona-fide
9272.wav,Bernie Sanders,spoof
9273.wav,Kamala Harris,bona-fide
9274.wav,Winston Churchill,bona-fide
9275.wav,Barack Obama,bona-fide
9276.wav,Robert Kardashian,bona-fide
9277.wav,Martin Luther King,spoof
9278.wav,Mr. Rogers,spoof
9279.wav,Barack Obama,bona-fide
9280.wav,Alan Watts,spoof
9281.wav,Bob Ross,bona-fide
9282.wav,Winston Churchill,bona-fide
9283.wav,Martin Luther King,bona-fide
9284.wav,JFK,bona-fide
9285.wav,Christopher Hitchens,spoof
9286.wav,Boris Johnson,bona-fide
9287.wav,Mr. Rogers,bona-fide
9288.wav,Alec Guinness,spoof
9289.wav,Christopher Hitchens,bona-fide
9290.wav,The Notorious B.I.G.,spoof
9291.wav,Orson Welles,spoof
9292.wav,JFK,bona-fide
9293.wav,Barack Obama,bona-fide
9294.wav,Ayn Rand,bona-fide
9295.wav,Donald Trump,bona-fide
9296.wav,Barack Obama,bona-fide
9297.wav,Donald Trump,bona-fide
9298.wav,Alec Guinness,bona-fide
9299.wav,Ronald Reagan,spoof
9300.wav,Alec Guinness,bona-fide
9301.wav,Barack Obama,bona-fide
9302.wav,2Pac,bona-fide
9303.wav,Donald Trump,bona-fide
9304.wav,Alec Guinness,spoof
9305.wav,Bernie Sanders,spoof
9306.wav,Louis Farrakhan,spoof
9307.wav,Christopher Hitchens,bona-fide
9308.wav,Bill Clinton,bona-fide
9309.wav,Alec Guinness,spoof
9310.wav,Nelson Mandela,spoof
9311.wav,Ayn Rand,spoof
9312.wav,Alec Guinness,spoof
9313.wav,Alan Watts,bona-fide
9314.wav,Ronald Reagan,bona-fide
9315.wav,Mark Zuckerberg,spoof
9316.wav,Bernie Sanders,spoof
9317.wav,Bernie Sanders,bona-fide
9318.wav,The Notorious B.I.G.,spoof
9319.wav,Alec Guinness,bona-fide
9320.wav,Donald Trump,bona-fide
9321.wav,Christopher Hitchens,spoof
9322.wav,Barack Obama,bona-fide
9323.wav,Ayn Rand,bona-fide
9324.wav,Donald Trump,spoof
9325.wav,Ayn Rand,spoof
9326.wav,Richard Nixon,bona-fide
9327.wav,Alec Guinness,spoof
9328.wav,Ronald Reagan,spoof
9329.wav,Alec Guinness,spoof
9330.wav,Donald Trump,bona-fide
9331.wav,Dwight Eisenhower,bona-fide
9332.wav,George W. Bush,bona-fide
9333.wav,Bill Burr,bona-fide
9334.wav,Queen Elizabeth II,spoof
9335.wav,Adam Driver,bona-fide
9336.wav,Nick Offerman,bona-fide
9337.wav,Richard Nixon,bona-fide
9338.wav,Bernie Sanders,bona-fide
9339.wav,Alan Watts,spoof
9340.wav,Adam Driver,spoof
9341.wav,Kanye West,bona-fide
9342.wav,Donald Trump,bona-fide
9343.wav,Alec Guinness,spoof
9344.wav,Donald Trump,bona-fide
9345.wav,Alec Guinness,spoof
9346.wav,Barack Obama,bona-fide
9347.wav,Barack Obama,bona-fide
9348.wav,Alec Guinness,bona-fide
9349.wav,George Carlin,bona-fide
9350.wav,Donald Trump,bona-fide
9351.wav,Robert Kardashian,bona-fide
9352.wav,Christopher Hitchens,bona-fide
9353.wav,Alec Guinness,bona-fide
9354.wav,Ayn Rand,spoof
9355.wav,Alan Watts,spoof
9356.wav,Bernie Sanders,bona-fide
9357.wav,Ronald Reagan,spoof
9358.wav,JFK,spoof
9359.wav,Donald Trump,bona-fide
9360.wav,Donald Trump,bona-fide
9361.wav,Bernie Sanders,bona-fide
9362.wav,Alan Watts,bona-fide
9363.wav,Kamala Harris,spoof
9364.wav,Barack Obama,bona-fide
9365.wav,2Pac,spoof
9366.wav,Alec Guinness,spoof
9367.wav,Winston Churchill,bona-fide
9368.wav,Barack Obama,bona-fide
9369.wav,Winston Churchill,spoof
9370.wav,John Cleese,spoof
9371.wav,JFK,spoof
9372.wav,Harry Truman,bona-fide
9373.wav,Ayn Rand,spoof
9374.wav,Winston Churchill,bona-fide
9375.wav,Dwight Eisenhower,bona-fide
9376.wav,Alan Watts,bona-fide
9377.wav,The Notorious B.I.G.,spoof
9378.wav,Ayn Rand,bona-fide
9379.wav,Milton Friedman,bona-fide
9380.wav,Kanye West,spoof
9381.wav,Mark Zuckerberg,bona-fide
9382.wav,Bill Clinton,bona-fide
9383.wav,Donald Trump,bona-fide
9384.wav,Donald Trump,bona-fide
9385.wav,JFK,bona-fide
9386.wav,William F. Buckley,spoof
9387.wav,Ayn Rand,bona-fide
9388.wav,George Carlin,bona-fide
9389.wav,Alec Guinness,spoof
9390.wav,Bill Clinton,spoof
9391.wav,Donald Trump,bona-fide
9392.wav,Ayn Rand,bona-fide
9393.wav,Alec Guinness,spoof
9394.wav,Alec Guinness,bona-fide
9395.wav,Christopher Hitchens,spoof
9396.wav,Bill Clinton,bona-fide
9397.wav,Martin Luther King,bona-fide
9398.wav,Bernie Sanders,spoof
9399.wav,Gilbert Gottfried,spoof
9400.wav,Bernie Sanders,spoof
9401.wav,Arnold Schwarzenegger,bona-fide
9402.wav,Donald Trump,bona-fide
9403.wav,Donald Trump,bona-fide
9404.wav,Alec Guinness,bona-fide
9405.wav,Bernie Sanders,spoof
9406.wav,Donald Trump,bona-fide
9407.wav,George W. Bush,bona-fide
9408.wav,Christopher Hitchens,spoof
9409.wav,Alec Guinness,spoof
9410.wav,George Carlin,spoof
9411.wav,Queen Elizabeth II,spoof
9412.wav,Ayn Rand,bona-fide
9413.wav,Barack Obama,bona-fide
9414.wav,Donald Trump,bona-fide
9415.wav,Barack Obama,bona-fide
9416.wav,Donald Trump,bona-fide
9417.wav,Donald Trump,bona-fide
9418.wav,Donald Trump,bona-fide
9419.wav,Dwight Eisenhower,spoof
9420.wav,Bernie Sanders,spoof
9421.wav,Winston Churchill,bona-fide
9422.wav,Donald Trump,bona-fide
9423.wav,Bernie Sanders,spoof
9424.wav,Ronald Reagan,spoof
9425.wav,Ayn Rand,spoof
9426.wav,Winston Churchill,spoof
9427.wav,Barack Obama,bona-fide
9428.wav,Donald Trump,bona-fide
9429.wav,Christopher Hitchens,bona-fide
9430.wav,Alec Guinness,bona-fide
9431.wav,Alan Watts,bona-fide
9432.wav,Barack Obama,bona-fide
9433.wav,Alexandria Ocasio-Cortez,bona-fide
9434.wav,Alec Guinness,bona-fide
9435.wav,John Cleese,spoof
9436.wav,Barack Obama,bona-fide
9437.wav,Donald Trump,bona-fide
9438.wav,George W. Bush,spoof
9439.wav,Barack Obama,bona-fide
9440.wav,Alec Guinness,spoof
9441.wav,Bill Clinton,spoof
9442.wav,Alec Guinness,bona-fide
9443.wav,2Pac,bona-fide
9444.wav,Donald Trump,bona-fide
9445.wav,Bill Clinton,bona-fide
9446.wav,Winston Churchill,bona-fide
9447.wav,Donald Trump,bona-fide
9448.wav,Alec Guinness,spoof
9449.wav,Barack Obama,bona-fide
9450.wav,Donald Trump,bona-fide
9451.wav,JFK,spoof
9452.wav,Winston Churchill,bona-fide
9453.wav,Bernie Sanders,spoof
9454.wav,Dwight Eisenhower,bona-fide
9455.wav,Barack Obama,bona-fide
9456.wav,Ayn Rand,bona-fide
9457.wav,Alan Watts,bona-fide
9458.wav,Winston Churchill,spoof
9459.wav,Bill Burr,bona-fide
9460.wav,Donald Trump,bona-fide
9461.wav,Ayn Rand,bona-fide
9462.wav,Donald Trump,bona-fide
9463.wav,Donald Trump,bona-fide
9464.wav,Alec Guinness,spoof
9465.wav,Ronald Reagan,bona-fide
9466.wav,Ayn Rand,spoof
9467.wav,Richard Nixon,spoof
9468.wav,Bernie Sanders,bona-fide
9469.wav,Bernie Sanders,spoof
9470.wav,Barack Obama,bona-fide
9471.wav,Alec Guinness,spoof
9472.wav,Christopher Hitchens,spoof
9473.wav,Alec Guinness,spoof
9474.wav,Richard Nixon,bona-fide
9475.wav,Ayn Rand,bona-fide
9476.wav,Queen Elizabeth II,spoof
9477.wav,Bill Clinton,spoof
9478.wav,Christopher Hitchens,bona-fide
9479.wav,Bernie Sanders,bona-fide
9480.wav,George Carlin,bona-fide
9481.wav,Alec Guinness,spoof
9482.wav,Winston Churchill,bona-fide
9483.wav,George W. Bush,spoof
9484.wav,Bill Clinton,spoof
9485.wav,Alec Guinness,spoof
9486.wav,Martin Luther King,bona-fide
9487.wav,Christopher Hitchens,spoof
9488.wav,JFK,spoof
9489.wav,Mark Zuckerberg,bona-fide
9490.wav,Ronald Reagan,spoof
9491.wav,Barack Obama,bona-fide
9492.wav,Bill Clinton,bona-fide
9493.wav,FDR,spoof
9494.wav,Arnold Schwarzenegger,bona-fide
9495.wav,Ayn Rand,bona-fide
9496.wav,Richard Nixon,bona-fide
9497.wav,Alan Watts,spoof
9498.wav,Donald Trump,bona-fide
9499.wav,Arnold Schwarzenegger,bona-fide
9500.wav,Alec Guinness,bona-fide
9501.wav,Donald Trump,bona-fide
9502.wav,Alec Guinness,bona-fide
9503.wav,Ayn Rand,bona-fide
9504.wav,Barack Obama,bona-fide
9505.wav,Dwight Eisenhower,spoof
9506.wav,Ayn Rand,bona-fide
9507.wav,Ronald Reagan,spoof
9508.wav,Donald Trump,bona-fide
9509.wav,Alan Watts,spoof
9510.wav,Nelson Mandela,spoof
9511.wav,Alec Guinness,bona-fide
9512.wav,Bill Clinton,bona-fide
9513.wav,Barack Obama,bona-fide
9514.wav,Donald Trump,bona-fide
9515.wav,Ayn Rand,spoof
9516.wav,Barack Obama,bona-fide
9517.wav,Ronald Reagan,bona-fide
9518.wav,Gilbert Gottfried,bona-fide
9519.wav,Tucker Carlson,spoof
9520.wav,Bernie Sanders,bona-fide
9521.wav,George W. Bush,spoof
9522.wav,Ronald Reagan,spoof
9523.wav,Milton Friedman,spoof
9524.wav,Christopher Hitchens,spoof
9525.wav,Christopher Hitchens,spoof
9526.wav,Ayn Rand,bona-fide
9527.wav,Ronald Reagan,spoof
9528.wav,Barack Obama,bona-fide
9529.wav,Bernie Sanders,bona-fide
9530.wav,Donald Trump,bona-fide
9531.wav,Bernie Sanders,spoof
9532.wav,William F. Buckley,bona-fide
9533.wav,JFK,bona-fide
9534.wav,Alec Guinness,spoof
9535.wav,Bill Clinton,bona-fide
9536.wav,Richard Nixon,bona-fide
9537.wav,Alec Guinness,spoof
9538.wav,Ronald Reagan,spoof
9539.wav,Barack Obama,bona-fide
9540.wav,Milton Friedman,spoof
9541.wav,Queen Elizabeth II,spoof
9542.wav,Christopher Hitchens,bona-fide
9543.wav,Jerry Seinfeld,bona-fide
9544.wav,Christopher Hitchens,bona-fide
9545.wav,Ayn Rand,bona-fide
9546.wav,Alan Watts,bona-fide
9547.wav,Nelson Mandela,spoof
9548.wav,Alexandria Ocasio-Cortez,spoof
9549.wav,Barack Obama,bona-fide
9550.wav,Bernie Sanders,bona-fide
9551.wav,Winston Churchill,spoof
9552.wav,Donald Trump,bona-fide
9553.wav,Christopher Hitchens,bona-fide
9554.wav,Donald Trump,bona-fide
9555.wav,Bill Clinton,bona-fide
9556.wav,Bernie Sanders,bona-fide
9557.wav,Barack Obama,bona-fide
9558.wav,Bill Clinton,spoof
9559.wav,Bill Clinton,spoof
9560.wav,Donald Trump,bona-fide
9561.wav,Alec Guinness,bona-fide
9562.wav,Mark Zuckerberg,bona-fide
9563.wav,Richard Nixon,spoof
9564.wav,Alec Guinness,spoof
9565.wav,Winston Churchill,bona-fide
9566.wav,Adam Driver,spoof
9567.wav,Bill Clinton,bona-fide
9568.wav,Ayn Rand,spoof
9569.wav,Ronald Reagan,spoof
9570.wav,Donald Trump,bona-fide
9571.wav,Barack Obama,bona-fide
9572.wav,Ayn Rand,bona-fide
9573.wav,Donald Trump,bona-fide
9574.wav,Ronald Reagan,spoof
9575.wav,Donald Trump,bona-fide
9576.wav,Barack Obama,bona-fide
9577.wav,Alec Guinness,spoof
9578.wav,Louis Farrakhan,spoof
9579.wav,Ronald Reagan,bona-fide
9580.wav,Donald Trump,bona-fide
9581.wav,Mark Zuckerberg,bona-fide
9582.wav,Alec Guinness,bona-fide
9583.wav,Donald Trump,bona-fide
9584.wav,Bernie Sanders,spoof
9585.wav,Bill Clinton,bona-fide
9586.wav,Calvin Coolidge,spoof
9587.wav,Christopher Hitchens,spoof
9588.wav,JFK,bona-fide
9589.wav,Barack Obama,spoof
9590.wav,Martin Luther King,spoof
9591.wav,Winston Churchill,bona-fide
9592.wav,Barack Obama,spoof
9593.wav,Alec Guinness,spoof
9594.wav,Boris Johnson,spoof
9595.wav,Donald Trump,bona-fide
9596.wav,Ayn Rand,bona-fide
9597.wav,Ronald Reagan,spoof
9598.wav,Christopher Hitchens,spoof
9599.wav,Donald Trump,bona-fide
9600.wav,Christopher Hitchens,bona-fide
9601.wav,Barack Obama,bona-fide
9602.wav,Bernie Sanders,bona-fide
9603.wav,Donald Trump,bona-fide
9604.wav,Mark Zuckerberg,spoof
9605.wav,Winston Churchill,bona-fide
9606.wav,Barack Obama,bona-fide
9607.wav,Kanye West,bona-fide
9608.wav,Donald Trump,bona-fide
9609.wav,Barack Obama,bona-fide
9610.wav,Alec Guinness,bona-fide
9611.wav,FDR,spoof
9612.wav,Alexandria Ocasio-Cortez,bona-fide
9613.wav,Donald Trump,bona-fide
9614.wav,Bill Burr,bona-fide
9615.wav,Barack Obama,bona-fide
9616.wav,Bill Clinton,bona-fide
9617.wav,Ayn Rand,spoof
9618.wav,The Notorious B.I.G.,spoof
9619.wav,Gilbert Gottfried,spoof
9620.wav,Bernie Sanders,spoof
9621.wav,Bernie Sanders,bona-fide
9622.wav,Richard Nixon,spoof
9623.wav,George Carlin,bona-fide
9624.wav,Bernie Sanders,bona-fide
9625.wav,Bernie Sanders,bona-fide
9626.wav,Barack Obama,bona-fide
9627.wav,John Cleese,bona-fide
9628.wav,Bernie Sanders,spoof
9629.wav,2Pac,bona-fide
9630.wav,Ayn Rand,spoof
9631.wav,Dwight Eisenhower,bona-fide
9632.wav,Barack Obama,bona-fide
9633.wav,Richard Nixon,bona-fide
9634.wav,Barack Obama,bona-fide
9635.wav,Donald Trump,bona-fide
9636.wav,Alec Guinness,bona-fide
9637.wav,Barack Obama,bona-fide
9638.wav,Winston Churchill,bona-fide
9639.wav,Bernie Sanders,bona-fide
9640.wav,Bernie Sanders,bona-fide
9641.wav,George Carlin,spoof
9642.wav,Richard Nixon,spoof
9643.wav,Bernie Sanders,bona-fide
9644.wav,Winston Churchill,bona-fide
9645.wav,Donald Trump,spoof
9646.wav,Milton Friedman,bona-fide
9647.wav,Bernie Sanders,bona-fide
9648.wav,Bernie Sanders,bona-fide
9649.wav,Bernie Sanders,bona-fide
9650.wav,Christopher Hitchens,bona-fide
9651.wav,JFK,bona-fide
9652.wav,Ronald Reagan,spoof
9653.wav,Donald Trump,bona-fide
9654.wav,Martin Luther King,bona-fide
9655.wav,Bernie Sanders,bona-fide
9656.wav,Barack Obama,bona-fide
9657.wav,Barack Obama,bona-fide
9658.wav,Kanye West,bona-fide
9659.wav,Bernie Sanders,bona-fide
9660.wav,Ronald Reagan,bona-fide
9661.wav,Alec Guinness,spoof
9662.wav,Christopher Hitchens,bona-fide
9663.wav,Bernie Sanders,spoof
9664.wav,Bill Clinton,bona-fide
9665.wav,Donald Trump,bona-fide
9666.wav,Ayn Rand,bona-fide
9667.wav,Barack Obama,bona-fide
9668.wav,Bill Clinton,bona-fide
9669.wav,Mark Zuckerberg,bona-fide
9670.wav,The Notorious B.I.G.,bona-fide
9671.wav,Robert Kardashian,bona-fide
9672.wav,The Notorious B.I.G.,spoof
9673.wav,Martin Luther King,spoof
9674.wav,Winston Churchill,spoof
9675.wav,Malcolm X,spoof
9676.wav,Alec Guinness,bona-fide
9677.wav,Nick Offerman,bona-fide
9678.wav,Bernie Sanders,spoof
9679.wav,Ayn Rand,spoof
9680.wav,Mr. Rogers,spoof
9681.wav,Bernie Sanders,spoof
9682.wav,Barack Obama,bona-fide
9683.wav,Boris Johnson,bona-fide
9684.wav,Donald Trump,bona-fide
9685.wav,Donald Trump,bona-fide
9686.wav,Ronald Reagan,bona-fide
9687.wav,Milton Friedman,bona-fide
9688.wav,Ayn Rand,bona-fide
9689.wav,Donald Trump,bona-fide
9690.wav,Barack Obama,bona-fide
9691.wav,Martin Luther King,spoof
9692.wav,Ayn Rand,spoof
9693.wav,Alec Guinness,spoof
9694.wav,Bernie Sanders,bona-fide
9695.wav,Barack Obama,bona-fide
9696.wav,Ayn Rand,bona-fide
9697.wav,Barack Obama,bona-fide
9698.wav,Ayn Rand,bona-fide
9699.wav,Bill Clinton,bona-fide
9700.wav,Mark Zuckerberg,bona-fide
9701.wav,Alec Guinness,bona-fide
9702.wav,2Pac,bona-fide
9703.wav,George Carlin,spoof
9704.wav,Alec Guinness,bona-fide
9705.wav,Alec Guinness,spoof
9706.wav,Ayn Rand,bona-fide
9707.wav,Bill Burr,bona-fide
9708.wav,Louis Farrakhan,bona-fide
9709.wav,Donald Trump,bona-fide
9710.wav,Arnold Schwarzenegger,spoof
9711.wav,Donald Trump,bona-fide
9712.wav,Nelson Mandela,bona-fide
9713.wav,Queen Elizabeth II,spoof
9714.wav,Ayn Rand,spoof
9715.wav,Ayn Rand,spoof
9716.wav,Bernie Sanders,spoof
9717.wav,Barack Obama,bona-fide
9718.wav,Ayn Rand,bona-fide
9719.wav,Donald Trump,bona-fide
9720.wav,Donald Trump,bona-fide
9721.wav,Alec Guinness,spoof
9722.wav,Bernie Sanders,spoof
9723.wav,Bernie Sanders,spoof
9724.wav,Alec Guinness,bona-fide
9725.wav,Malcolm X,bona-fide
9726.wav,Norm MacDonald,spoof
9727.wav,Nelson Mandela,spoof
9728.wav,Bernie Sanders,bona-fide
9729.wav,FDR,bona-fide
9730.wav,Ayn Rand,bona-fide
9731.wav,JFK,bona-fide
9732.wav,Donald Trump,bona-fide
9733.wav,FDR,bona-fide
9734.wav,Ronald Reagan,bona-fide
9735.wav,Donald Trump,bona-fide
9736.wav,Donald Trump,bona-fide
9737.wav,Barack Obama,bona-fide
9738.wav,Ayn Rand,bona-fide
9739.wav,Mark Zuckerberg,bona-fide
9740.wav,Donald Trump,bona-fide
9741.wav,Ayn Rand,spoof
9742.wav,JFK,bona-fide
9743.wav,Ronald Reagan,spoof
9744.wav,Barack Obama,bona-fide
9745.wav,Bill Clinton,bona-fide
9746.wav,Boris Johnson,bona-fide
9747.wav,Barack Obama,bona-fide
9748.wav,Adam Driver,spoof
9749.wav,Donald Trump,spoof
9750.wav,Bernie Sanders,spoof
9751.wav,Orson Welles,spoof
9752.wav,Richard Nixon,bona-fide
9753.wav,Donald Trump,bona-fide
9754.wav,Boris Johnson,bona-fide
9755.wav,Ayn Rand,bona-fide
9756.wav,Christopher Hitchens,spoof
9757.wav,Alexandria Ocasio-Cortez,spoof
9758.wav,Donald Trump,bona-fide
9759.wav,Alexandria Ocasio-Cortez,bona-fide
9760.wav,The Notorious B.I.G.,spoof
9761.wav,George Carlin,bona-fide
9762.wav,Alexandria Ocasio-Cortez,spoof
9763.wav,Barack Obama,spoof
9764.wav,Alec Guinness,bona-fide
9765.wav,Martin Luther King,spoof
9766.wav,Ronald Reagan,bona-fide
9767.wav,Bernie Sanders,spoof
9768.wav,Bill Clinton,bona-fide
9769.wav,Nelson Mandela,spoof
9770.wav,Queen Elizabeth II,spoof
9771.wav,Malcolm X,spoof
9772.wav,The Notorious B.I.G.,spoof
9773.wav,George W. Bush,bona-fide
9774.wav,Barack Obama,bona-fide
9775.wav,Dwight Eisenhower,bona-fide
9776.wav,Bernie Sanders,spoof
9777.wav,Gilbert Gottfried,spoof
9778.wav,Mr. Rogers,bona-fide
9779.wav,Alec Guinness,bona-fide
9780.wav,Boris Johnson,spoof
9781.wav,Bernie Sanders,bona-fide
9782.wav,Bill Clinton,bona-fide
9783.wav,Donald Trump,bona-fide
9784.wav,Christopher Hitchens,spoof
9785.wav,Barack Obama,bona-fide
9786.wav,Barack Obama,bona-fide
9787.wav,Ronald Reagan,bona-fide
9788.wav,Martin Luther King,bona-fide
9789.wav,Alec Guinness,spoof
9790.wav,Milton Friedman,bona-fide
9791.wav,Scarlett Johansson,bona-fide
9792.wav,Queen Elizabeth II,spoof
9793.wav,Bill Clinton,bona-fide
9794.wav,Martin Luther King,bona-fide
9795.wav,Arnold Schwarzenegger,bona-fide
9796.wav,Barack Obama,bona-fide
9797.wav,William F. Buckley,spoof
9798.wav,Queen Elizabeth II,spoof
